gbifID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	occurrenceStatus	preparations	disposition	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOccurrences	associatedOrganisms	previousIdentifications	organismRemarks	materialSampleID	eventID	parentEventID	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	samplingEffort	sampleSizeValue	sampleSizeUnit	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	countryCode	stateProvince	county	municipality	locality	verbatimLocality	verbatimElevation	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceVerificationStatus	georeferenceRemarks	identifiedBy	scientificName
466035744	University of British Columbia	UBC	NA	NA	PRESERVED_SPECIMEN	NA	NA	NA	NA	V57758	NA	P.R. Sanderson	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1956-09-22T00:00Z	NA	NA	NA	1956	9	22	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CA	British Columbia	NA	NA	"promenade , first narrows, Vancouver"	NA	NA	NA	NA	NA	NA	NA	49	-123	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Alnus rubra Bong.
466056981	University of British Columbia	UBC	NA	NA	PRESERVED_SPECIMEN	NA	NA	NA	NA	V6683	NA	John Davidson	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1912-03-16T00:00Z	NA	NA	NA	1912	3	16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CA	British Columbia	NA	NA	"by path up to Little Mountain reservoir, near to lumber mill"	NA	NA	NA	NA	NA	NA	NA	49.23333	-123.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	John Davidson	Alnus rubra Bong.
466068658	University of British Columbia	UBC	NA	NA	PRESERVED_SPECIMEN	NA	NA	NA	NA	V121629	NA	Katherine I. Beamish	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1968-05-28T00:00Z	NA	NA	NA	1968	5	28	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CA	British Columbia	NA	NA	"ambrose lake, sechelt peninsula, northwest of Vancouver"	NA	NA	NA	NA	NA	NA	NA	49	-124	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Katherine I. Beamish	Alnus rubra Bong.
466325639	University of British Columbia	UBC	NA	NA	PRESERVED_SPECIMEN	NA	NA	NA	NA	V229677	NA	Miranda Corkum	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2004-04-11T00:00Z	NA	NA	NA	2004	4	11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CA	British Columbia	NA	NA	"Gabriola Island, southern end of island next to Silva Bay, 3315 South Road"	NA	NA	NA	NA	NA	NA	NA	49.1486	-123.70467	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Miranda Corkum	Alnus rubra Bong.
918806888	University of British Columbia	UBC	University of British Columbia Herbarium (UBC) - Vascular Plants Collection	University of British Columbia	PRESERVED_SPECIMEN	NA	NA	NA	1178	V6345	s.n.	D.C. Buckland	NA	NA	NA	NA	NA	NA	NA	NA	NA	mounted	NA	NA	NA	NA	NA	Red Alder	NA	NA	NA	NA	NA	Alnus rubra by D.C. Buckland 1939	NA	NA	NA	NA	NA	1939-04-25T00:00Z	NA	NA	NA	1939	4	25	1939 Apr 25	"Damp areas, muck soils"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CA	British Columbia	NA	NA	Burquitlam	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	D.C. Buckland	Alnus rubra Bong.
918810314	University of British Columbia	UBC	University of British Columbia Herbarium (UBC) - Vascular Plants Collection	University of British Columbia	PRESERVED_SPECIMEN	NA	NA	NA	4593	V136524	s.n.	J. Roche	NA	NA	NA	NA	NA	NA	NA	NA	NA	mounted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1966-01-01T00:00Z	NA	NA	NA	1966	1	1	1966 summer	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CA	British Columbia	NA	NA	32 miles east of Prince Rupert	NA	122 m	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Alnus rubra Bong.
918824398	University of British Columbia	UBC	University of British Columbia Herbarium (UBC) - Vascular Plants Collection	University of British Columbia	PRESERVED_SPECIMEN	NA	NA	NA	18809	V163857	s.n.	Richard M. Annas; Karl Klinka	NA	NA	NA	NA	NA	NA	NA	NA	NA	mounted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1974-05-21T00:00Z	NA	NA	NA	1974	5	21	1974 May 21	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CA	British Columbia	NA	NA	"rugged point on the se. entrance to Kyuquot channel, s. ofunion Is. on vanc. Is."	NA	NA	NA	NA	NA	NA	NA	49.95	-127.25	NA	NA	NA	NA	unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	John Pinder-Moss 1978	Alnus rubra Bong.
441684873	UWBM	Plants	NA	NA	PRESERVED_SPECIMEN	NA	NA	NA	NA	63909	NA	J. A. Calder	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1957-05-30T00:00Z	NA	NA	NA	1957	5	30	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CA	British Columbia	NA	NA	"Queen Charlotte Islands; East end of Mosquito Lake near Moresby Logging Camp, Moresby Island."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Alnus oregona Nutt.
466035746	University of British Columbia	UBC	NA	NA	PRESERVED_SPECIMEN	NA	NA	NA	NA	V57753	NA	P.R. Sanderson	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1956-09-22T00:00Z	NA	NA	NA	1956	9	22	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CA	British Columbia	NA	NA	"Vancouver, Stanley Park, brockton point"	NA	NA	NA	NA	NA	NA	NA	49.3	-123.13333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Alnus rubra Bong.
466080539	University of British Columbia	UBC	NA	NA	PRESERVED_SPECIMEN	NA	NA	NA	NA	V75609	NA	Vladimir J. Krajina	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1949-07-19T00:00Z	NA	NA	NA	1949	7	19	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CA	British Columbia	NA	NA	Vancouver	NA	NA	NA	NA	NA	NA	NA	49	-123	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Vladimir J. Krajina	Alnus rubra Bong.
