gbifID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	occurrenceID	catalogNumber	recordNumber	recordedBy	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	fieldNotes	islandGroup	island	countryCode	stateProvince	county	municipality	locality	verbatimLocality	verbatimElevation	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	identifiedBy	scientificName
918806815	University of British Columbia	UBC	University of British Columbia Herbarium (UBC) - Vascular Plants Collection	University of British Columbia	PRESERVED_SPECIMEN	NA	1089	V169955	37	Corinne J. Selby	1977-06-17T00:00Z	NA	NA	NA	1977	6	17	1977 Jun 17	abundant on bare ground or rock	NA	NA	NA	NA	CA	British Columbia	NA	NA	"ca. 2 miles W. of Relay Creek cabin along Relay Creek trail, S-facing basin"	NA	2015 m	NA	NA	NA	NA	NA	51.18333	-122.96667	NA	Arctostaphylos uva-ursi (L.) Spreng.
918817275	University of British Columbia	UBC	University of British Columbia Herbarium (UBC) - Vascular Plants Collection	University of British Columbia	PRESERVED_SPECIMEN	NA	11633	V15847	s.n.	W.A. Newcombe	1914-05-06T00:00Z	NA	NA	NA	1914	5	6	1914 May 06	NA	NA	NA	NA	NA	CA	British Columbia	NA	NA	Hanceville	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Arctostaphylos uva-ursi (L.) Spreng.
918827554	University of British Columbia	UBC	University of British Columbia Herbarium (UBC) - Vascular Plants Collection	University of British Columbia	PRESERVED_SPECIMEN	NA	22056	V70801	7531	Katherine I. Beamish; S. Stone; Freek Vrugtman	1957-01-01T00:00Z	NA	NA	NA	1957	1	1	1957	rocky hillside at timberline	NA	NA	NA	NA	CA	British Columbia	NA	NA	"Mountain above canim mine, Manning Park"	NA	2012 m	NA	NA	NA	NA	NA	NA	NA	Katherine I. Beamish	Arctostaphylos uva-ursi (L.) Spreng.
918832096	University of British Columbia	UBC	University of British Columbia Herbarium (UBC) - Vascular Plants Collection	University of British Columbia	PRESERVED_SPECIMEN	NA	26670	V74496	233	Thomas M.C. Taylor; Adam F. Szczawinski	1958-07-01T00:00Z	NA	NA	NA	1958	7	1	1958 Jul 01	"mossy, dry rocks"	NA	NA	NA	NA	CA	British Columbia	NA	NA	"markale, Kyuquot, Vancouver Island"	NA	0 m	NA	NA	NA	NA	NA	NA	NA	Thomas M.C. Taylor	Arctostaphylos uva-ursi (L.) Spreng.
918833897	University of British Columbia	UBC	University of British Columbia Herbarium (UBC) - Vascular Plants Collection	University of British Columbia	PRESERVED_SPECIMEN	NA	28474	V46569	4242	Vladimir J. Krajina; R.H. Spilsbury	1950-05-30T00:00Z	NA	NA	NA	1950	5	30	1950 May 30	NA	NA	NA	NA	NA	CA	British Columbia	NA	NA	"between englishman river & Parksville, Vancouver Island"	NA	30 m	NA	NA	NA	NA	NA	49.3	-124.28333	Vladimir J. Krajina 1955	Arctostaphylos uva-ursi (L.) Spreng.
813290056	Royal Ontario Museum (ROM)	TRT	NA	NA	PRESERVED_SPECIMEN	NA	NA	173221	NA	"DuBoulay, G.; DuBoulay, P.H."	1969-09-24T00:00Z	NA	NA	NA	1969	9	24	NA	NA	NA	NA	NA	NA	CA	Ontario	Bruce Co.	NA	Tobermory	NA	NA	NA	NA	NA	NA	NA	45.25858	-81.66886	"DuBoulay, G."	Arctostaphylos uva-ursi (L.) Spreng.
813290059	Royal Ontario Museum (ROM)	TRT	NA	NA	PRESERVED_SPECIMEN	NA	NA	229447	NA	"Varga, S."	1982-09-20T00:00Z	NA	NA	NA	1982	9	20	NA	NA	NA	NA	NA	NA	CA	Ontario	Bruce Co.	NA	"Lindsay Tp., 3.75 kms N along road from Dyer's Bay to Cabot Head, 1 km S of outlet to Gillies Lake.; 3"	NA	NA	NA	NA	NA	NA	NA	45.19444	-81.31944	"Varga, S."	Arctostaphylos uva-ursi (L.) Spreng.
813298933	Royal Ontario Museum (ROM)	TRT	NA	NA	PRESERVED_SPECIMEN	NA	NA	248989	NA	"Whiting, R.E."	1966-05-17T00:00Z	NA	NA	NA	1966	5	17	NA	NA	NA	NA	NA	NA	CA	Ontario	Muskoka D. M.	NA	"Morrison Tp., GRE Lot 28, Beaver Creek SE of large beaver dam"	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Whiting, R.E."	Arctostaphylos uva-ursi (L.) Spreng.
813301098	Royal Ontario Museum (ROM)	TRT	NA	NA	PRESERVED_SPECIMEN	NA	NA	40732	NA	"Marie-Victorin, Fr.; Rolland-Germain, Fr.; Meilleur, R."	1933-08-26T00:00Z	NA	NA	NA	1933	8	26	NA	NA	NA	NA	NA	NA	CA	Ontario	Simcoe Co.	NA	Wasaga Beach	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Arctostaphylos uva-ursi var. coactilis Fern. & J.F. Macbr.
813314995	Royal Ontario Museum (ROM)	TRT	NA	NA	PRESERVED_SPECIMEN	NA	NA	120062	NA	"Rogers, E.S."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CA	Ontario	Kenora Dist.	NA	"Patricia Portion, Round Lake"	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Soper, J.H."	Arctostaphylos uva-ursi (L.) Spreng.
