gbifID	institutionCode	collectionCode	basisOfRecord	recordNumber	recordedBy	individualCount	preparations	associatedTaxa	fieldNumber	eventDate	year	month	day	verbatimEventDate	habitat	fieldNotes	eventRemarks	islandGroup	island	countryCode	stateProvince	county	municipality	locality	verbatimLocality	verbatimElevation	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinateSystem	verbatimSRS	scientificName
466335396	University of British Columbia	UBC	PRESERVED_SPECIMEN	NA	"Randal A. Mindell, Beryl C. Zhuang"	NA	NA	NA	NA	2009-06-25T00:00Z	2009	6	25	NA	NA	NA	NA	NA	NA	CA	British Columbia	NA	NA	"Greater Vancouver Regional District, Vancouver, University of British Columbia Botanical Garden, Garry Oak Meadow"	NA	NA	NA	NA	NA	NA	NA	49.25	-123.23333	NA	NA	NA	NA	NA	Amelanchier alnifolia (Nutt.) Nutt.
1248743400	Universit̩ Laval	QFA	PRESERVED_SPECIMEN	69-361	"Rousseau, Camille"	NA	mounted	NA	NA	1969-08-31T00:00Z	1969	8	31	31 ao��t 1969	sapini̬re sur argile	NA	NA	NA	NA	CA	Qu̩bec	NA	NA	"Comt̩ Abitibi-Ouest, Ile Nepawa, sapini̬re sur argile."	NA	NA	NA	NA	NA	NA	NA	48.69	-79.45167	NA	NA	NA	NA	NA	Amelanchier alnifolia (Nutt.) Nutt.
1248743406	Universit̩ Laval	QFA	PRESERVED_SPECIMEN	8176	"Cody, William James"	NA	mounted	NA	NA	1955-06-11T00:00Z	1955	6	11	11 juin 1955	Shrub 4 ft. On steep bank of Mackenzie River.	NA	NA	NA	NA	CA	Northwest Territories	NA	NA	Approx. 20 miles downstream from Fort Aimpson on north shore. On steep bank of Mackenzie River.	NA	NA	NA	NA	NA	NA	NA	62.03333	-121.83333	NA	NA	NA	degr̩es minutes secondes	unknown	Amelanchier alnifolia (Nutt.) Nutt.
894996390	University of Lethbridge	LEA	PRESERVED_SPECIMEN	NA	"235 John Nagy, Walter Blais"	NA	NA	"Pseudotsuga menziesii, Pinus flexilis, Pinus contorta"	NA	1969-05-18T00:00Z	1969	5	18	NA	South 45��_ meadow	NA	"shrub, 2 feet"	NA	NA	CA	Alberta	NA	NA	Mt. Anderson 1 mile West Blakiston	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Amelanchier alnifolia (Nutt.) Nutt.
894996416	University of Lethbridge	LEA	PRESERVED_SPECIMEN	NA	21523 Ian D. Macdonald	NA	NA	Picea glauca-Populus balsamifera	NA	1990-07-20T00:00Z	1990	7	20	NA	Subalpine ecoregion: mesic to wet mesic valley bottom forest	NA	NA	NA	NA	CA	Alberta	NA	NA	"Improvement District No. 6, Parkinson Pine Site, 3 km southeast of Barrier Lake Reservoir dam"	NA	ca 5100 feet	NA	NA	NA	NA	NA	51.01667	-115	NA	NA	NA	NA	NA	Amelanchier alnifolia (Nutt.) Nutt.
894996427	University of Lethbridge	LEA	PRESERVED_SPECIMEN	NA	"422 Blais, Nagy"	NA	NA	PoT.	NA	1969-05-24T00:00Z	1969	5	24	NA	West slope East side of road	NA	"Shrub, 4 feet"	NA	NA	CA	Alberta	NA	NA	Belly River & International Boundary	NA	4500 feet	NA	NA	NA	NA	NA	49.01667	-113.68333	NA	NA	NA	NA	NA	Amelanchier alnifolia (Nutt.) Nutt.
894996441	University of Lethbridge	LEA	PRESERVED_SPECIMEN	NA	"1038 J. Campbell-Snelling, M. Chambers"	NA	NA	NA	NA	1982-08-03T00:00Z	1982	8	3	NA	grassy meadow	NA	NA	NA	NA	CA	Alberta	NA	NA	On same road as #1000 but further on towards Bellevue: S side of road	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Amelanchier alnifolia (Nutt.) Nutt.
894996459	University of Lethbridge	LEA	PRESERVED_SPECIMEN	NA	"6265 Askell, Doris Love"	NA	NA	oak	NA	1954-06-06T00:00Z	1954	6	6	NA	oak-shaded hillslope	NA	NA	NA	NA	CA	Manitoba	NA	NA	Bird's Hill gravel pits	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Amelanchier alnifolia (Nutt.) Nutt.
813276437	Royal Ontario Museum (ROM)	TRT	PRESERVED_SPECIMEN	NA	Brassard; Hainault	NA	NA	NA	NA	1963-06-19T00:00Z	1963	6	19	NA	NA	NA	NA	NA	NA	CA	Ontario	Prince Edward Co.	NA	"Duck Islands, Main Duck Island"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Amelanchier alnifolia (Nutt.) Nutt.
813291956	Royal Ontario Museum (ROM)	TRT	PRESERVED_SPECIMEN	NA	"Moir, D.R."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CA	Ontario	Kenora Dist.	NA	"Ponask Lake, vicinity of Sachigo Lake"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Amelanchier alnifolia (Nutt.) Nutt.
